Year,CountyFIPS,Sex,Age,Population
2020,5,Male,11,0
2020,3,Male,2,22710230
2020,13,Female,2,1120565
2020,7,Female,12,0
2020,7,Female,11,13245282
2020,1,Female,1,23446870
2020,9,Female,12,15456909
2020,3,Female,12,11094451
2020,11,Male,12,12254638
2020,5,Male,11,13665174
2020,7,Male,11,13145308
2020,7,Female,2,10733204
2020,11,Female,12,8649856
2020,3,Male,12,8589460
2020,9,Female,1,5109907
2020,7,Female,1,7827334
2020,3,Male,2,0
2020,11,Female,12,7572802
2020,1,Female,12,2838701
2020,9,Male,1,3136405
2020,5,Female,11,9000838
2020,7,Male,2,17526687
2020,3,Female,12,12979088
2020,1,Female,12,0
2020,5,Female,12,2833186
2020,13,Male,2,14924762
2020,3,Female,2,3462704
2020,3,Female,1,8149102
2020,5,Male,1,12671765
2020,1,Female,12,2946367
2020,13,Male,12,9526005
2020,11,Female,12,1001780
2020,1,Male,12,5585411
2020,9,Male,11,10729131
2020,7,Male,11,205074
2020,5,Female,12,10438062
2020,11,Male,12,8828967
2020,13,Female,1,12611013
2020,5,Male,2,10791163
2020,5,Male,1,17366027
2020,1,Male,12,9636677
2020,7,Female,11,5931880
2020,9,Male,1,10205212
2020,3,Female,11,10831253
2020,3,Female,11,8340838
2020,5,Female,2,9348928
2020,7,Male,1,5452130
2020,13,Male,11,5322428
2020,13,Female,2,1045582
2020,11,Male,11,18595837
2020,1,Female,2,1958894
2020,7,Male,12,5075025
2020,7,Female,11,4476219
2020,1,Female,11,12602346
2020,13,Female,12,6527287
2020,13,Male,2,16694842
2020,13,Female,1,5571954
2020,5,Male,1,11108769
2020,7,Male,11,4373633
2020,3,Female,11,18899555
2020,1,Female,11,2112968
2020,13,Female,1,11217709
2020,11,Female,1,13077727
2020,13,Male,1,11886092
2020,13,Male,2,8431590
2020,9,Female,11,7440847
2020,5,Male,2,9752640
2020,1,Male,2,8652356
2020,9,Male,12,14312770
2020,9,Male,2,22246508
2020,11,Male,2,6285357
2020,7,Male,12,1300840
2020,11,Male,2,8990952
2020,7,Male,11,23163211
2020,7,Female,12,3822034
2020,1,Male,12,18077698
2020,13,Male,1,19174104
2020,1,Female,12,5151921
2020,5,Male,2,12780927
2020,7,Female,1,18788411
2020,9,Female,2,6934098
2020,13,Male,12,7803357
2020,3,Male,2,6145875
2020,5,Female,2,3277045
2020,1,Female,11,4824415
2020,11,Male,1,2442428
2020,5,Female,1,9634543
2020,5,Male,1,5060129
2020,13,Female,1,10781150
2020,5,Male,1,528280
2020,5,Female,1,11338624
2020,3,Female,11,12293106
2020,11,Female,1,0
2020,11,Male,2,11656926
2020,11,Male,12,15783585
2020,7,Male,2,2524881
2020,9,Male,11,18172160
2020,11,Male,1,11916192
2020,5,Female,1,5390972
2020,5,Male,1,9178431
2020,11,Male,1,12719480
2020,13,Female,1,9875241
2020,11,Female,1,12532158
2020,5,Female,1,4152734
2020,7,Female,1,10411248
2020,1,Male,2,1348136
2020,1,Male,1,8858650
2020,11,Female,2,3914808
2020,3,Female,2,4883559
2020,11,Male,11,15770659
2020,13,Female,1,15704689
2020,11,Male,12,12334838
2020,1,Male,11,2959812
2020,5,Male,1,7675511
2020,11,Female,12,14546649
2020,5,Female,12,8849354
2020,5,Male,1,22873915
2020,3,Female,1,11697114
2020,5,Male,12,10009271
2020,1,Male,11,7268944
2020,7,Female,1,10205585
2020,7,Female,1,8563433
2020,9,Female,2,13189446
2020,13,Female,2,14619715
2020,11,Female,11,4135816
2020,13,Female,2,1456218
2020,1,Male,2,0
2020,5,Male,11,11764656
2020,7,Male,1,3137690
2020,13,Male,1,0
2020,1,Female,11,10051953
2020,7,Male,12,22838698
2020,5,Male,2,9465004
2020,13,Male,2,14334984
2020,7,Female,1,9908680
2020,11,Male,2,8929786
2020,11,Female,2,14403237
2020,9,Male,1,7826206
2020,9,Male,1,11041870
2020,7,Female,2,10966255
2020,1,Female,1,5602959
2020,11,Male,2,15220406
2020,1,Female,1,8434306
2020,1,Female,2,4767252
2020,7,Male,1,12593677
2020,1,Female,12,3317950
2020,11,Female,11,8236681
2020,5,Female,11,8048805
2020,9,Female,12,13870225
2020,5,Female,2,11846534
2020,1,Female,1,9295156
2020,5,Female,2,13820355
2020,11,Female,11,15097019
2020,11,Female,11,10904350
2020,1,Female,2,9174949
2020,7,Female,1,1906845
2020,5,Male,2,3358266
2020,7,Female,2,7359294
2020,7,Female,11,5024708
2020,3,Male,11,7940984
2020,1,Female,2,9441318
2020,9,Male,12,11891874
2020,11,Male,11,8581814
2020,11,Female,1,12232136
2020,1,Male,1,9871788
2020,13,Female,1,0
2020,13,Female,1,4045586
2020,13,Male,1,8669161
2020,9,Male,1,2524572
2020,11,Male,2,12959369
2020,1,Female,1,18227770
2020,11,Female,12,14576769
2020,7,Female,1,8213352
2020,5,Male,2,18095957
2020,5,Female,2,9970735
2020,11,Male,12,7058969
2020,3,Female,1,5916953
2020,9,Male,2,7755886
2020,13,Female,12,6031531
2020,9,Male,12,9888653
2020,9,Female,12,8949630
2020,7,Male,1,9517575
2020,9,Female,1,11947563
2020,5,Female,11,14091857
2020,7,Male,12,14232898
2020,1,Female,11,615511
2020,9,Female,11,0
2020,9,Male,2,14887562
2020,1,Male,11,1449155
2020,9,Female,1,8148343
2020,1,Male,2,2752811
2020,7,Female,2,0
2020,5,Male,2,12622237
2020,1,Female,1,13797596
2020,3,Male,1,6175690
2020,1,Female,11,0
2020,9,Female,2,5972602
2020,13,Female,11,10068199
2020,13,Female,1,947570
2020,7,Male,2,10557316
2020,11,Female,2,9027302
2020,7,Male,1,12840368
2020,11,Male,2,10189545
2020,13,Male,1,3889022
2020,13,Male,1,16399777
2020,1,Female,12,7252729
2020,5,Female,2,8958291
2020,3,Male,12,3734832
2020,7,Male,1,6943921
2020,9,Female,11,3638108
2020,11,Male,11,8018151
2020,9,Male,11,18387486
2020,5,Male,2,1589244
2020,11,Female,2,0
2020,7,Female,2,17579675
2020,1,Male,12,7771334
2020,9,Male,12,5207907
2020,5,Female,12,13625658
2020,7,Female,1,5961664
2020,13,Male,11,19016370
2020,13,Female,12,11700759
2020,7,Male,1,6686577
2020,7,Male,1,21939654
2020,7,Female,11,5043834
2020,11,Male,11,13052692
2020,7,Female,12,9687296
2020,9,Male,1,17006216
2020,5,Male,12,17644992
2020,11,Female,1,9622605
2020,7,Male,1,5155592
2020,3,Female,1,12079815
2020,3,Male,12,5159719
2020,5,Male,11,20047317
2020,13,Male,2,10287312
2020,1,Female,2,7013531
2020,1,Male,12,9968185
2020,13,Female,2,1364777
2020,11,Male,12,3521025
2020,11,Female,2,16021895
2020,11,Male,2,5712174
2020,1,Female,2,3092047
2020,3,Female,2,12202985
2020,1,Female,11,14066964
2020,9,Female,2,13251840
2020,7,Female,1,15157732
2020,11,Female,12,4071325
2020,3,Male,2,1301451
2020,5,Male,2,18157123
2020,5,Female,12,6379826
2020,7,Female,11,6831325
2020,3,Female,1,17064776
2020,1,Male,12,12039838
2020,1,Male,11,11477983
2020,9,Male,2,21984023
