Year,CountyFIPS,Sex,Age,Population
2020,1,Male,1,2
2020,1,Male,1,1000010
2020,1,Male,1,2000013
2020,1,Male,1,3000014
2020,1,Male,1,4000013
2020,1,Male,1,5000011
2020,1,Male,1,6000013
2020,1,Male,1,7000013
2020,1,Male,1,8000014
2020,1,Male,1,9000013
2020,1,Male,1,10000014
2020,1,Male,1,11000015
2020,1,Male,1,12000016
2020,1,Male,1,13000013
2020,1,Male,1,14000011
2020,1,Male,1,15000009
2020,1,Male,1,16000006
2020,1,Male,1,17000004
2020,1,Male,1,18000002
2020,1,Male,1,19000000
2020,1,Male,2,2
2020,1,Male,2,1000009
2020,1,Male,2,2000012
2020,1,Male,2,3000014
2020,1,Male,2,4000013
2020,1,Male,2,5000011
2020,1,Male,2,6000014
2020,1,Male,2,7000014
2020,1,Male,2,8000013
2020,1,Male,2,9000013
2020,1,Male,2,10000014
2020,1,Male,2,11000014
2020,1,Male,2,12000016
2020,1,Male,2,13000014
2020,1,Male,2,14000011
2020,1,Male,2,15000011
2020,1,Male,2,16000008
2020,1,Male,2,17000005
2020,1,Male,2,18000003
2020,1,Male,2,19000001
2020,1,Male,11,0
2020,1,Male,11,1000000
2020,1,Male,11,2000000
2020,1,Male,11,3000000
2020,1,Male,11,4000000
2020,1,Male,11,5000000
2020,1,Male,11,6000000
2020,1,Male,11,7000000
2020,1,Male,11,8000001
2020,1,Male,11,9000000
2020,1,Male,11,10000000
2020,1,Male,11,11000000
2020,1,Male,11,12000000
2020,1,Male,11,13000000
2020,1,Male,11,14000000
2020,1,Male,11,15000000
2020,1,Male,11,16000000
2020,1,Male,11,17000000
2020,1,Male,11,18000000
2020,1,Male,12,0
2020,1,Male,12,1000000
2020,1,Male,12,2000000
2020,1,Male,12,3000000
2020,1,Male,12,4000000
2020,1,Male,12,5000000
2020,1,Male,12,6000000
2020,1,Male,12,7000000
2020,1,Male,12,8000000
2020,1,Male,12,9000000
2020,1,Male,12,10000000
2020,1,Male,12,11000000
2020,1,Male,12,12000000
2020,1,Male,12,13000000
2020,1,Male,12,14000000
2020,1,Male,12,15000000
2020,1,Male,12,16000000
2020,1,Male,12,17000000
2020,1,Male,12,18000000
2020,1,Male,12,19000000
2020,1,Female,1,0
2020,1,Female,1,1000003
2020,1,Female,1,2000004
2020,1,Female,1,3000005
2020,1,Female,1,4000004
2020,1,Female,1,5000003
2020,1,Female,1,6000004
2020,1,Female,1,7000003
2020,1,Female,1,8000003
2020,1,Female,1,9000003
2020,1,Female,1,10000003
2020,1,Female,1,11000003
2020,1,Female,1,12000003
2020,1,Female,1,13000002
2020,1,Female,1,14000002
2020,1,Female,1,15000001
2020,1,Female,1,16000000
2020,1,Female,1,17000000
2020,1,Female,1,18000000
2020,1,Female,1,19000000
2020,1,Female,2,0
2020,1,Female,2,1000003
2020,1,Female,2,2000004
